Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, Surface",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,19240,2251,na,0.116995842,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, Ia",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,64450,3890,na,0.060356866,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, Ib",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,6995,1559,na,0.222873481,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, IIa",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,6083,1012,na,0.16636528,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, Iib",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,2668,1115,na,0.417916042,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, Iic",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,2604,388,na,0.149001536,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, IIIa",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,7482,2136,na,0.285485164,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1,IIIb",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,10101,2390,na,0.236610237,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, IIIc",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,39556,4672,na,0.118111032,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1,IIId",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,8785,1411,na,0.160614684,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, IIIe",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,12360,1640,na,0.132686084,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, IIIf",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,13987,1876,na,0.134124544,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1,IIIg",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,8265,499,na,0.060375076,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, IIIh",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,174,35,na,0.201149425,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, Iva",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,22348,2469,na,0.110479685,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 1, Ivb",19.55222222,-97.48833333,Late Preclassic-Early Classic,n/a,2250,1450,n/a,Cook in Mirambell and Arratia (2014),"Cuadro 1, 3.",n/a,n/a,9531,1108,na,0.11625223,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, Surface",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,2823,400,na,0.141693234,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, I",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,658300,38976,na,0.059207048,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, I-IV",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,723,116,na,0.1604426,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, II",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,53023,2300,na,0.043377402,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, III",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,688009,43001,na,0.062500636,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, IV",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,149811,12628,na,0.084292876,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, V",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,216042,8136,na,0.037659344,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 2, VI",19.55316667,-97.49152778,Late Preclassic-Late Classic,n/a,2350,1200,n/a,Cook in Mirambell and Arratia (2014),Cuadro 6.,n/a,n/a,328,76,na,0.231707317,n/a,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 3, Capa I",19.55461111,-97.49344444,Late Preclassic-Early Classic,n/a,1900,1350,n/a,Cook in Mirambell and Arratia (2014),Cuadro 8.,n/a,n/a,9246,2904,na,0.314081765,,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 3, Capa I-III",19.55461111,-97.49344444,Late Preclassic-Early Classic,n/a,1900,1350,n/a,Cook in Mirambell and Arratia (2014),Cuadro 8.,n/a,n/a,581,138,na,0.237521515,,,,,,,,,,,,,,,
Mexico,Puebla,Cantona,"Taller (workshop) 3, Capa II",19.55461111,-97.49344444,Late Preclassic-Early Classic,n/a,1900,1350,n/a,Cook in Mirambell and Arratia (2014),Cuadro 8.,n/a,n/a,7708,1962,na,0.254540737,,,,,,,,,,,,,,,
